,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
67,07003P,欣興元大0B售02,0,0,0,0,0,0,0,0,0,1500000,0,0,0,1624000,124000,1500000,1500000
68,084894,台積電統一0B購09,0,0,0,0,0,0,0,0,0,1460000,0,0,0,1470000,10000,1460000,1460000
69,082860,台灣50中信09購01,0,0,0,0,0,0,0,0,0,1449000,0,0,0,1450000,1000,1449000,1449000
70,033024,矽創中信0B購01,0,0,0,0,0,0,0,0,0,1404000,0,0,0,3332000,1928000,1404000,1404000
71,1312,國喬,2481675,951000,1530675,0,0,0,0,0,0,-136414,0,0,0,191000,327414,-136414,1394261
72,6191,精成科,1849008,595000,1254008,0,0,0,0,0,0,136254,139000,129000,10000,243254,117000,126254,1390262
73,087750,海悅國票0A購01,0,0,0,0,0,0,0,0,0,1389000,0,0,0,1439000,50000,1389000,1389000
74,033226,聯電康和0B購01,0,0,0,0,0,0,0,0,0,1385000,0,0,0,2489000,1104000,1385000,1385000
75,083034,台積電中信09購09,0,0,0,0,0,0,0,0,0,1384000,0,0,0,1384000,0,1384000,1384000
76,085736,中壽兆豐08購01,0,0,0,0,0,0,0,0,0,1380000,0,0,0,1380000,0,1380000,1380000
77,037911,榮運凱基13購02,0,0,0,0,0,0,0,0,0,1380000,0,0,0,1529000,149000,1380000,1380000
78,034457,聯電群益11購02,2000,0,2000,0,0,0,0,0,0,1342000,0,0,0,2487000,1145000,1342000,1344000
79,036967,技嘉國泰12購01,0,0,0,0,0,0,0,0,0,1320000,0,0,0,1390000,70000,1320000,1320000
80,039384,愛普國泰13購01,0,0,0,0,0,0,0,0,0,1314000,0,0,0,1809000,495000,1314000,1314000
81,040385,超豐元大15購01,0,0,0,0,0,0,0,0,0,1312000,0,0,0,1363000,51000,1312000,1312000
82,03740C,聯發科富邦0C牛01,0,0,0,0,0,0,0,0,0,1307000,0,0,0,1366000,59000,1307000,1307000
83,036039,元大金統一11購01,0,0,0,0,0,0,0,0,0,1297000,0,0,0,1297000,0,1297000,1297000
84,031673,聯詠元大0A購08,0,0,0,0,0,0,0,0,0,1296000,0,0,0,2257000,961000,1296000,1296000
85,084650,鴻海群益0A購02,0,0,0,0,0,0,0,0,0,1283000,0,0,0,1328000,45000,1283000,1283000
86,6202,盛群,2400000,1140150,1259850,0,0,0,0,5000,-5000,-5465,132000,131465,535,7000,13000,-6000,1249385
87,089368,聯詠元大0C購05,0,0,0,0,0,0,0,0,0,1244000,0,0,0,1530000,286000,1244000,1244000
88,030342,海悅群益0B購01,0,0,0,0,0,0,0,0,0,1226000,0,0,0,1251000,25000,1226000,1226000
89,030551,惠特凱基0A購01,0,0,0,0,0,0,0,0,0,1194000,0,0,0,1718000,524000,1194000,1194000
90,07392P,群創凱基0C售06,0,0,0,0,0,0,0,0,0,1190000,0,0,0,1190000,0,1190000,1190000
91,033779,中鋼元大0B購04,0,0,0,0,0,0,0,0,0,1179000,0,0,0,1220000,41000,1179000,1179000
92,075710,台表科元富0B購02,0,0,0,0,0,0,0,0,0,1175000,0,0,0,1645000,470000,1175000,1175000
93,085698,台郡國泰0A購01,0,0,0,0,0,0,0,0,0,1160000,0,0,0,1888000,728000,1160000,1160000
94,037383,台表科永豐0C購01,0,0,0,0,0,0,0,0,0,1152000,0,0,0,1320000,168000,1152000,1152000
95,086165,亞光元大08購04,0,0,0,0,0,0,0,0,0,1150000,0,0,0,1150000,0,1150000,1150000
96,037464,南紡國泰12購02,0,0,0,0,0,0,0,0,0,1147000,0,0,0,1216000,69000,1147000,1147000
97,037949,台積電元大26購01,0,0,0,0,0,0,0,0,0,1140000,0,0,0,1201000,61000,1140000,1140000
98,06716P,南電中信0B售02,0,0,0,0,0,0,0,0,0,1138000,0,0,0,1393000,255000,1138000,1138000
99,8150,南茂,3422000,2789000,633000,0,0,0,0,0,0,494536,33201,85765,-52564,611100,64000,547100,1127536
100,034688,聯電群益0C購01,0,0,0,0,0,0,0,0,0,1080000,0,0,0,1232000,152000,1080000,1080000
101,037450,偉詮電元大0C購02,0,0,0,0,0,0,0,0,0,1077000,0,0,0,1135000,58000,1077000,1077000
102,034249,新光鋼統一17購01,0,0,0,0,0,0,0,0,0,1072000,0,0,0,1098000,26000,1072000,1072000
103,06439P,欣興國票0A售01,0,0,0,0,0,0,0,0,0,1061000,0,0,0,1475000,414000,1061000,1061000
104,033820,友訊統一0C購01,0,0,0,0,0,0,0,0,0,1052000,0,0,0,1194000,142000,1052000,1052000
105,035237,台塑群益0C購01,0,0,0,0,0,0,0,0,0,1039000,0,0,0,1174000,135000,1039000,1039000
106,033586,榮運凱基12購01,0,0,0,0,0,0,0,0,0,1038000,0,0,0,1085000,47000,1038000,1038000
107,083588,金寶國票08購01,0,0,0,0,0,0,0,0,0,1037000,0,0,0,1037000,0,1037000,1037000
108,040217,臺股指國票11購05,0,0,0,0,0,0,0,0,0,1037000,0,0,0,1110000,73000,1037000,1037000
109,031790,大成鋼國票0B購02,0,0,0,0,0,0,0,0,0,1026000,0,0,0,1099000,73000,1026000,1026000
110,033742,鴻海富邦11購01,0,0,0,0,0,0,0,0,0,1015000,0,0,0,1058000,43000,1015000,1015000
111,038466,大榮元富12購01,0,0,0,0,0,0,0,0,0,1012000,0,0,0,1040000,28000,1012000,1012000
112,032476,彩晶中信0C購01,0,0,0,0,0,0,0,0,0,1008000,0,0,0,1008000,0,1008000,1008000
113,3031,佰鴻,3112000,2108000,1004000,0,0,0,0,0,0,0,0,0,0,0,0,0,1004000
114,032381,大成鋼統一12購01,0,0,0,0,0,0,0,0,0,998000,0,0,0,1230000,232000,998000,998000
115,087858,日月光國票0A購04,0,0,0,0,0,0,0,0,0,998000,0,0,0,998000,0,998000,998000
116,030567,惠特統一0C購02,0,0,0,0,0,0,0,0,0,995000,0,0,0,1035000,40000,995000,995000
117,5871,中租-KY,3260873,2302514,958359,0,0,0,27000,0,27000,5919,8419,2000,6419,0,500,-500,991278
118,1305,華夏,3956000,2919000,1037000,0,0,0,0,0,0,-56718,282,56000,-55718,116000,117000,-1000,980282
119,087907,聯電群益09購03,0,0,0,0,0,0,0,0,0,980000,0,0,0,982000,2000,980000,980000
120,086383,聯詠國票09購01,0,0,0,0,0,0,0,0,0,980000,0,0,0,2562000,1582000,980000,980000
121,030266,致新永豐0A購01,0,0,0,0,0,0,0,0,0,974000,0,0,0,1039000,65000,974000,974000
122,06997P,欣興凱基0B售03,0,0,0,0,0,0,0,0,0,973000,0,0,0,1402000,429000,973000,973000
123,5876,上海商銀,2889399,1917332,972067,0,0,0,0,0,0,-10853,0,0,0,0,10853,-10853,961214
124,037497,同欣電凱基0C購01,0,0,0,0,0,0,0,0,0,961000,0,0,0,978000,17000,961000,961000
125,038238,億光元大11購02,0,0,0,0,0,0,0,0,0,961000,0,0,0,966000,5000,961000,961000
126,037730,聯詠凱基0C購03,0,0,0,0,0,0,0,0,0,958000,0,0,0,968000,10000,958000,958000
127,034584,貿聯凱基0C購01,0,0,0,0,0,0,0,0,0,943000,0,0,0,1130000,187000,943000,943000
128,078334,聯電凱基0A購01,0,0,0,0,0,0,0,0,0,931000,0,0,0,1204000,273000,931000,931000
129,037836,億光國票0C購01,0,0,0,0,0,0,0,0,0,929000,0,0,0,1029000,100000,929000,929000
130,031026,南亞科凱基14購01,0,0,0,0,0,0,0,0,0,918000,0,0,0,1008000,90000,918000,918000
131,035995,緯穎國泰12購01,0,0,0,0,0,0,0,0,0,911000,0,0,0,931000,20000,911000,911000
132,089869,矽創中信0C購01,0,0,0,0,0,0,0,0,0,911000,0,0,0,956000,45000,911000,911000
133,034047,大立光元富15購01,0,0,0,0,0,0,0,0,0,909000,0,0,0,957000,48000,909000,909000
134,035564,愛普統一14購01,0,0,0,0,0,0,0,0,0,901000,0,0,0,1051000,150000,901000,901000
135,085079,聯詠永豐08購01,0,0,0,0,0,0,0,0,0,898000,0,0,0,908000,10000,898000,898000
136,038312,強茂群益13購02,0,0,0,0,0,0,0,0,0,898000,0,0,0,928000,30000,898000,898000
137,3092,鴻碩,1934000,1316000,618000,0,0,0,0,0,0,274000,0,0,0,294000,20000,274000,892000
138,2376,技嘉,1859638,1132312,727326,0,0,0,0,0,0,162330,287000,78670,208330,69000,115000,-46000,889656
139,8367,建新國際,2118000,1230000,888000,0,0,0,0,0,0,0,0,0,0,0,0,0,888000
140,036650,矽格統一0C購01,0,0,0,0,0,0,0,0,0,884000,0,0,0,1331000,447000,884000,884000
141,087923,聚陽統一0B購02,0,0,0,0,0,0,0,0,0,883000,0,0,0,1110000,227000,883000,883000
142,034558,台塑國泰11購01,0,0,0,0,0,0,0,0,0,882000,0,0,0,902000,20000,882000,882000
143,00876,元大未來關鍵科技,298000,113000,185000,0,0,0,0,0,0,680021,0,0,0,978021,298000,680021,865021
144,038470,永豐餘康和11購01,0,0,0,0,0,0,0,0,0,845000,0,0,0,884000,39000,845000,845000
145,086413,健策統一0B購01,0,0,0,0,0,0,0,0,0,837000,0,0,0,837000,0,837000,837000
146,03867P,A50正2元富09售01,0,0,0,0,0,0,0,0,0,835000,0,0,0,1041000,206000,835000,835000
147,2880,華南金,8575462,7746458,829004,0,0,0,2000,856,1144,3000,0,0,0,3000,0,3000,833148
148,089550,GIS國泰0B購01,0,0,0,0,0,0,0,0,0,833000,0,0,0,1158000,325000,833000,833000
149,2542,興富發,1614000,475000,1139000,0,0,0,0,0,0,-306390,32000,76390,-44390,50000,312000,-262000,832610
150,040089,華立國票12購01,0,0,0,0,0,0,0,0,0,830000,0,0,0,886000,56000,830000,830000
151,8163,達方,840000,92000,748000,0,0,0,0,0,0,75637,2421,784,1637,94000,20000,74000,823637
152,031348,帆宣元大0A購02,0,0,0,0,0,0,0,0,0,821000,0,0,0,836000,15000,821000,821000
153,2204,中華,1216308,419000,797308,0,0,0,1000,520,480,4000,0,0,0,4000,0,4000,801788
154,030671,惠特永豐0A購02,0,0,0,0,0,0,0,0,0,795000,0,0,0,795000,0,795000,795000
155,088878,台灣50凱基0B購02,0,0,0,0,0,0,0,0,0,795000,0,0,0,906000,111000,795000,795000
156,032871,國喬凱基0B購02,0,0,0,0,0,0,0,0,0,784000,0,0,0,784000,0,784000,784000
157,030592,臺指反元大11購04,0,0,0,0,0,0,0,0,0,781000,0,0,0,781000,0,781000,781000
158,038163,億光元大11購01,0,0,0,0,0,0,0,0,0,771000,0,0,0,801000,30000,771000,771000
159,1210,大成,880000,147000,733000,0,0,0,0,0,0,33700,0,300,-300,41000,7000,34000,766700
160,033421,智原永豐0B購02,0,0,0,0,0,0,0,0,0,761000,0,0,0,1192000,431000,761000,761000
161,034996,中鋼元大0C購03,0,0,0,0,0,0,0,0,0,761000,0,0,0,811000,50000,761000,761000
162,033588,台航凱基14購01,0,0,0,0,0,0,0,0,0,758000,0,0,0,918000,160000,758000,758000
163,037070,聯茂富邦0C購01,0,0,0,0,0,0,0,0,0,752000,0,0,0,982000,230000,752000,752000
164,034974,愛普元富0B購04,0,0,0,0,0,0,0,0,0,751000,0,0,0,799000,48000,751000,751000
165,040048,遠東新元大14購01,0,0,0,0,0,0,0,0,0,751000,0,0,0,751000,0,751000,751000
166,030544,大立光凱基0A購07,0,0,0,0,0,0,0,0,0,747000,0,0,0,775000,28000,747000,747000
167,031038,聯詠凱基12購02,0,0,0,0,0,0,0,0,0,747000,0,0,0,905000,158000,747000,747000
168,1313,聯成,2806000,1984000,822000,0,0,0,0,0,0,-75001,13999,0,13999,68000,157000,-89000,746999
169,088498,海悅元大09購02,0,0,0,0,0,0,0,0,0,746000,0,0,0,767000,21000,746000,746000
170,089054,友達永豐09購06,0,0,0,0,0,0,0,0,0,743000,0,0,0,1413000,670000,743000,743000
171,039737,長榮航國泰13購03,0,0,0,0,0,0,0,0,0,736000,0,0,0,767000,31000,736000,736000
172,039798,美時元大11購01,0,0,0,0,0,0,0,0,0,735000,0,0,0,1987000,1252000,735000,735000
173,037882,大亞國泰13購01,0,0,0,0,0,0,0,0,0,734000,0,0,0,763000,29000,734000,734000
174,036786,欣興統一12購01,10000,0,10000,0,0,0,0,0,0,721000,0,0,0,1110000,389000,721000,731000
175,039034,潤泰全凱基14購01,0,0,0,0,0,0,0,0,0,730000,0,0,0,734000,4000,730000,730000
176,8112,至上,3361000,2630000,731000,0,0,0,0,2000,-2000,-71,1000,1071,-71,0,0,0,728929
177,035788,嘉澤國泰12購01,0,0,0,0,0,0,0,0,0,728000,0,0,0,747000,19000,728000,728000
178,085609,華邦電元大0C購01,0,0,0,0,0,0,0,0,0,722000,0,0,0,750000,28000,722000,722000
179,038022,台郡凱基0C購02,0,0,0,0,0,0,0,0,0,718000,0,0,0,728000,10000,718000,718000
180,088235,海悅國票0A購02,0,0,0,0,0,0,0,0,0,715000,0,0,0,735000,20000,715000,715000
181,038909,智原群益14購01,0,0,0,0,0,0,0,0,0,710000,0,0,0,710000,0,710000,710000
182,037690,日月光元大0C購05,0,0,0,0,0,0,0,0,0,702000,0,0,0,841000,139000,702000,702000
183,088807,海悅元大0A購01,0,0,0,0,0,0,0,0,0,700000,0,0,0,724000,24000,700000,700000
184,5880,合庫金,9902289,9121261,781028,0,0,0,2000,0,2000,-89000,0,100000,-100000,11000,0,11000,694028
185,06361P,臺股指中信0C售05,0,0,0,0,0,0,0,0,0,694000,0,0,0,998000,304000,694000,694000
186,036783,欣興統一0C購03,0,0,0,0,0,0,0,0,0,692000,0,0,0,694000,2000,692000,692000
187,1227,佳格,1978050,1281000,697050,0,0,0,0,7000,-7000,0,0,0,0,0,0,0,690050
188,036071,日月光群益12購01,0,0,0,0,0,0,0,0,0,690000,0,0,0,858000,168000,690000,690000
189,00881,國泰台灣5G+,1520150,695000,825150,0,0,0,0,0,0,-136362,9000,1264000,-1255000,2792330,1673692,1118638,688788
190,07600P,T50正2群益11售03,0,0,0,0,0,0,0,0,0,688000,0,0,0,700000,12000,688000,688000
191,038965,同欣電元大14購01,0,0,0,0,0,0,0,0,0,683000,0,0,0,718000,35000,683000,683000
192,032543,台航凱基12購01,0,0,0,0,0,0,0,0,0,679000,0,0,0,799000,120000,679000,679000
193,039246,中石化國泰13購02,0,0,0,0,0,0,0,0,0,679000,0,0,0,694000,15000,679000,679000
194,00638R,元大滬深300反1,219000,188000,31000,0,0,0,0,0,0,644000,0,0,0,899000,255000,644000,675000
195,1409,新纖,1558000,778000,780000,0,0,0,0,0,0,-106334,12002,12336,-334,62000,168000,-106000,673666
196,034650,國光生國泰11購01,0,0,0,0,0,0,0,0,0,669000,0,0,0,669000,0,669000,669000
197,037854,裕民元富13購12,0,0,0,0,0,0,0,0,0,669000,0,0,0,744000,75000,669000,669000
198,032222,裕民統一0C購02,0,0,0,0,0,0,0,0,0,662000,0,0,0,871000,209000,662000,662000
199,039984,台肥國票12購01,0,0,0,0,0,0,0,0,0,656000,0,0,0,656000,0,656000,656000
200,087298,精成科元大09購01,0,0,0,0,0,0,0,0,0,655000,0,0,0,1055000,400000,655000,655000
201,039320,美亞元大13購01,0,0,0,0,0,0,0,0,0,653000,0,0,0,653000,0,653000,653000
202,07391P,友達凱基0C售09,0,0,0,0,0,0,0,0,0,652000,0,0,0,767000,115000,652000,652000
203,031882,宏達電凱基12購01,0,0,0,0,0,0,0,0,0,651000,0,0,0,694000,43000,651000,651000
204,033387,台航元大0B購03,0,0,0,0,0,0,0,0,0,651000,0,0,0,684000,33000,651000,651000
205,082501,健策統一09購01,0,0,0,0,0,0,0,0,0,650000,0,0,0,650000,0,650000,650000
206,037962,聯德元大0C購01,0,0,0,0,0,0,0,0,0,650000,0,0,0,656000,6000,650000,650000
207,078850,國巨統一08購01,0,0,0,0,0,0,0,0,0,649000,0,0,0,649000,0,649000,649000
208,038421,允強國泰13購03,0,0,0,0,0,0,0,0,0,649000,0,0,0,1606000,957000,649000,649000
209,030727,聯電元大0A購04,0,0,0,0,0,0,0,0,0,648000,0,0,0,1211000,563000,648000,648000
210,037207,啟碁凱基0C購01,0,0,0,0,0,0,0,0,0,646000,0,0,0,868000,222000,646000,646000
211,00830,國泰費城半導體,1597000,134000,1463000,0,0,0,0,0,0,-818000,12000,0,12000,166000,996000,-830000,645000
212,034009,可成群益11購01,0,0,0,0,0,0,0,0,0,643000,0,0,0,685000,42000,643000,643000
213,037818,臺股指元大13購10,0,0,0,0,0,0,0,0,0,643000,0,0,0,716000,73000,643000,643000
214,035434,聯詠元大0B購06,0,0,0,0,0,0,0,0,0,642000,0,0,0,1076000,434000,642000,642000
215,031586,王品凱基0A購02,0,0,0,0,0,0,0,0,0,640000,0,0,0,647000,7000,640000,640000
216,2634,漢翔,648000,98000,550000,0,0,0,90000,0,90000,0,0,0,0,0,0,0,640000
217,037729,健和興凱基0C購01,0,0,0,0,0,0,0,0,0,639000,0,0,0,804000,165000,639000,639000
218,034305,允強永豐0B購01,0,0,0,0,0,0,0,0,0,634000,0,0,0,1018000,384000,634000,634000
219,081215,華邦電統一09購03,0,0,0,0,0,0,0,0,0,634000,0,0,0,774000,140000,634000,634000
220,038457,春源元富12購01,0,0,0,0,0,0,0,0,0,633000,0,0,0,644000,11000,633000,633000
221,037543,威鋒電元大13購01,0,0,0,0,0,0,0,0,0,631000,0,0,0,1451000,820000,631000,631000
222,086585,遠東新國票0A購01,0,0,0,0,0,0,0,0,0,630000,0,0,0,725000,95000,630000,630000
223,037169,緯穎國泰12購02,0,0,0,0,0,0,0,0,0,630000,0,0,0,660000,30000,630000,630000
224,035224,日月光國泰11購02,0,0,0,0,0,0,0,0,0,627000,0,0,0,950000,323000,627000,627000
225,040057,台積電元大11購21,0,0,0,0,0,0,0,0,0,627000,0,0,0,732000,105000,627000,627000
226,089962,聯電元大0A購02,0,0,0,0,0,0,0,0,0,626000,0,0,0,816000,190000,626000,626000
227,031795,台揚國票0B購01,0,0,0,0,0,0,0,0,0,622000,0,0,0,678000,56000,622000,622000
228,038641,健和興元富14購01,0,0,0,0,0,0,0,0,0,622000,0,0,0,626000,4000,622000,622000
229,038026,臺股指凱基13購07,0,0,0,0,0,0,0,0,0,622000,0,0,0,701000,79000,622000,622000
230,081138,聯電凱基09購03,0,0,0,0,0,0,0,0,0,619000,0,0,0,785000,166000,619000,619000
231,038940,台表科麥證11購01,0,0,0,752000,141000,611000,0,0,0,615000,0,0,0,773000,158000,615000,615000
232,087713,聯發科統一09購17,0,0,0,0,0,0,0,0,0,614000,0,0,0,614000,0,614000,614000
233,080634,勝一元大09購01,0,0,0,0,0,0,0,0,0,612000,0,0,0,662000,50000,612000,612000
