Open,Amount,Close,Volume,High,Low,ts
644.0,22537000.0,644.0,35,644.0,643.0,2022-02-10 11:43:00
644.0,23181000.0,644.0,36,644.0,643.0,2022-02-10 11:44:00
644.0,30247000.0,644.0,47,644.0,643.0,2022-02-10 11:45:00
644.0,10943000.0,644.0,17,644.0,643.0,2022-02-10 11:46:00
644.0,19960000.0,644.0,31,644.0,643.0,2022-02-10 11:47:00
644.0,24446000.0,643.0,38,644.0,643.0,2022-02-10 11:48:00
644.0,54699000.0,644.0,85,644.0,643.0,2022-02-10 11:49:00
644.0,17374000.0,644.0,27,644.0,643.0,2022-02-10 11:50:00
644.0,23176000.0,643.0,36,644.0,643.0,2022-02-10 11:51:00
644.0,29601000.0,643.0,46,644.0,643.0,2022-02-10 11:52:00
644.0,80491000.0,644.0,125,644.0,643.0,2022-02-10 11:53:00
644.0,18021000.0,643.0,28,644.0,643.0,2022-02-10 11:54:00
644.0,25098000.0,643.0,39,644.0,643.0,2022-02-10 11:55:00
644.0,14801000.0,643.0,23,644.0,643.0,2022-02-10 11:56:00
643.0,26387000.0,644.0,41,644.0,643.0,2022-02-10 11:57:00
644.0,14809000.0,644.0,23,644.0,643.0,2022-02-10 11:58:00
644.0,15448000.0,643.0,24,644.0,643.0,2022-02-10 11:59:00
643.0,180072000.0,644.0,280,644.0,643.0,2022-02-10 12:00:00
643.0,288105000.0,643.0,448,644.0,643.0,2022-02-10 12:01:00
643.0,58532000.0,643.0,91,644.0,643.0,2022-02-10 12:02:00
643.0,20594000.0,644.0,32,644.0,643.0,2022-02-10 12:03:00
643.0,215422000.0,642.0,335,644.0,642.0,2022-02-10 12:04:00
643.0,27005000.0,643.0,42,643.0,642.0,2022-02-10 12:05:00
643.0,16715000.0,643.0,26,643.0,642.0,2022-02-10 12:06:00
643.0,8352000.0,642.0,13,643.0,642.0,2022-02-10 12:07:00
642.0,24408000.0,642.0,38,643.0,642.0,2022-02-10 12:08:00
642.0,21202000.0,643.0,33,643.0,642.0,2022-02-10 12:09:00
642.0,7712000.0,643.0,12,643.0,642.0,2022-02-10 12:10:00
643.0,32140000.0,642.0,50,643.0,642.0,2022-02-10 12:11:00
642.0,11564000.0,643.0,18,643.0,642.0,2022-02-10 12:12:00
642.0,13501000.0,643.0,21,643.0,642.0,2022-02-10 12:13:00
642.0,15427000.0,643.0,24,643.0,642.0,2022-02-10 12:14:00
642.0,16709000.0,642.0,26,643.0,642.0,2022-02-10 12:15:00
643.0,14137000.0,642.0,22,643.0,642.0,2022-02-10 12:16:00
643.0,21853000.0,643.0,34,643.0,642.0,2022-02-10 12:17:00
642.0,8994000.0,643.0,14,643.0,642.0,2022-02-10 12:18:00
643.0,43708000.0,643.0,68,643.0,642.0,2022-02-10 12:19:00
642.0,36640000.0,643.0,57,643.0,642.0,2022-02-10 12:20:00
643.0,93234000.0,643.0,145,643.0,642.0,2022-02-10 12:21:00
643.0,48915000.0,644.0,76,644.0,643.0,2022-02-10 12:22:00
643.0,16743000.0,644.0,26,644.0,643.0,2022-02-10 12:23:00
643.0,26388000.0,644.0,41,644.0,643.0,2022-02-10 12:24:00
644.0,14164000.0,644.0,22,644.0,643.0,2022-02-10 12:25:00
644.0,29623000.0,644.0,46,644.0,643.0,2022-02-10 12:26:00
644.0,25742000.0,644.0,40,644.0,643.0,2022-02-10 12:27:00
644.0,16733000.0,643.0,26,644.0,643.0,2022-02-10 12:28:00
644.0,42491000.0,643.0,66,644.0,643.0,2022-02-10 12:29:00
644.0,10946000.0,644.0,17,644.0,643.0,2022-02-10 12:30:00
644.0,18669000.0,644.0,29,644.0,643.0,2022-02-10 12:31:00
644.0,19958000.0,644.0,31,644.0,643.0,2022-02-10 12:32:00
644.0,49578000.0,644.0,77,644.0,643.0,2022-02-10 12:33:00
644.0,18027000.0,644.0,28,644.0,643.0,2022-02-10 12:34:00
644.0,14798000.0,644.0,23,644.0,643.0,2022-02-10 12:35:00
644.0,15451000.0,644.0,24,644.0,643.0,2022-02-10 12:36:00
644.0,23176000.0,643.0,36,644.0,643.0,2022-02-10 12:37:00
644.0,23819000.0,644.0,37,644.0,643.0,2022-02-10 12:38:00
644.0,95952000.0,644.0,149,644.0,643.0,2022-02-10 12:39:00
644.0,195150000.0,644.0,303,645.0,644.0,2022-02-10 12:40:00
645.0,12249000.0,644.0,19,645.0,644.0,2022-02-10 12:41:00
645.0,15474000.0,644.0,24,645.0,644.0,2022-02-10 12:42:00
645.0,16759000.0,645.0,26,645.0,644.0,2022-02-10 12:43:00
645.0,20622000.0,645.0,32,645.0,644.0,2022-02-10 12:44:00
645.0,14830000.0,645.0,23,645.0,644.0,2022-02-10 12:45:00
645.0,17408000.0,644.0,27,645.0,644.0,2022-02-10 12:46:00
644.0,18687000.0,645.0,29,645.0,644.0,2022-02-10 12:47:00
645.0,19985000.0,644.0,31,645.0,644.0,2022-02-10 12:48:00
645.0,29653000.0,645.0,46,645.0,644.0,2022-02-10 12:49:00
645.0,36093000.0,644.0,56,645.0,644.0,2022-02-10 12:50:00
645.0,21274000.0,644.0,33,645.0,644.0,2022-02-10 12:51:00
645.0,22560000.0,645.0,35,645.0,644.0,2022-02-10 12:52:00
645.0,19345000.0,644.0,30,645.0,644.0,2022-02-10 12:53:00
644.0,25142000.0,644.0,39,645.0,644.0,2022-02-10 12:54:00
644.0,90288000.0,644.0,140,645.0,644.0,2022-02-10 12:55:00
645.0,36753000.0,644.0,57,645.0,644.0,2022-02-10 12:56:00
645.0,25149000.0,645.0,39,645.0,644.0,2022-02-10 12:57:00
645.0,29666000.0,644.0,46,645.0,644.0,2022-02-10 12:58:00
644.0,40628000.0,645.0,63,645.0,644.0,2022-02-10 12:59:00
645.0,49004000.0,645.0,76,645.0,644.0,2022-02-10 13:00:00
645.0,314756000.0,645.0,488,645.0,644.0,2022-02-10 13:01:00
645.0,262512000.0,645.0,407,645.0,644.0,2022-02-10 13:02:00
645.0,69653000.0,645.0,108,645.0,644.0,2022-02-10 13:03:00
645.0,69013000.0,645.0,107,645.0,644.0,2022-02-10 13:04:00
645.0,254163000.0,646.0,394,646.0,644.0,2022-02-10 13:05:00
646.0,56839000.0,646.0,88,646.0,645.0,2022-02-10 13:06:00
646.0,60048000.0,646.0,93,646.0,645.0,2022-02-10 13:07:00
646.0,63940000.0,646.0,99,646.0,645.0,2022-02-10 13:08:00
646.0,189918000.0,646.0,294,646.0,645.0,2022-02-10 13:09:00
646.0,93744000.0,647.0,145,647.0,645.0,2022-02-10 13:10:00
646.0,31040000.0,647.0,48,647.0,646.0,2022-02-10 13:11:00
647.0,212541000.0,646.0,329,647.0,645.0,2022-02-10 13:12:00
646.0,35530000.0,645.0,55,647.0,645.0,2022-02-10 13:13:00
646.0,16148000.0,646.0,25,646.0,645.0,2022-02-10 13:14:00
646.0,34876000.0,646.0,54,646.0,645.0,2022-02-10 13:15:00
646.0,56867000.0,646.0,88,647.0,646.0,2022-02-10 13:16:00
646.0,72354000.0,646.0,112,647.0,645.0,2022-02-10 13:17:00
645.0,27122000.0,646.0,42,646.0,645.0,2022-02-10 13:18:00
646.0,69109000.0,646.0,107,646.0,645.0,2022-02-10 13:19:00
646.0,75572000.0,646.0,117,646.0,645.0,2022-02-10 13:20:00
645.0,34866000.0,646.0,54,646.0,645.0,2022-02-10 13:21:00
646.0,164076000.0,646.0,254,646.0,645.0,2022-02-10 13:22:00
646.0,119578000.0,647.0,185,647.0,646.0,2022-02-10 13:23:00
646.0,119579000.0,647.0,185,647.0,646.0,2022-02-10 13:24:00
647.0,130620000.0,647.0,202,647.0,646.0,2022-02-10 13:25:00
649.0,3966039000.0,649.0,6111,649.0,649.0,2022-02-10 13:30:00
646.0,1893416000.0,643.0,2933,646.0,643.0,2022-02-11 09:01:00
643.0,246321000.0,642.0,383,644.0,642.0,2022-02-11 09:02:00
642.0,71944000.0,643.0,112,643.0,642.0,2022-02-11 09:03:00
642.0,44343000.0,643.0,69,643.0,642.0,2022-02-11 09:04:00
643.0,235341000.0,645.0,365,646.0,643.0,2022-02-11 09:05:00
646.0,257801000.0,644.0,400,646.0,643.0,2022-02-11 09:06:00
644.0,45057000.0,643.0,70,644.0,643.0,2022-02-11 09:07:00
644.0,68834000.0,644.0,107,644.0,643.0,2022-02-11 09:08:00
643.0,36676000.0,644.0,57,644.0,643.0,2022-02-11 09:09:00
644.0,69516000.0,643.0,108,644.0,643.0,2022-02-11 09:10:00
644.0,50870000.0,644.0,79,644.0,643.0,2022-02-11 09:11:00
644.0,197892000.0,646.0,307,646.0,644.0,2022-02-11 09:12:00
646.0,291995000.0,647.0,452,647.0,645.0,2022-02-11 09:13:00
646.0,303959000.0,645.0,471,647.0,644.0,2022-02-11 09:14:00
645.0,53526000.0,645.0,83,645.0,644.0,2022-02-11 09:15:00
644.0,58026000.0,645.0,90,645.0,644.0,2022-02-11 09:16:00
644.0,36099000.0,644.0,56,645.0,644.0,2022-02-11 09:17:00
645.0,26429000.0,645.0,41,645.0,644.0,2022-02-11 09:18:00
645.0,43209000.0,645.0,67,645.0,644.0,2022-02-11 09:19:00
645.0,288505000.0,643.0,448,645.0,643.0,2022-02-11 09:20:00
644.0,33474000.0,643.0,52,644.0,643.0,2022-02-11 09:21:00
643.0,54730000.0,644.0,85,644.0,643.0,2022-02-11 09:22:00
644.0,24465000.0,644.0,38,644.0,643.0,2022-02-11 09:23:00
644.0,76636000.0,644.0,119,645.0,643.0,2022-02-11 09:24:00
644.0,49593000.0,644.0,77,645.0,644.0,2022-02-11 09:25:00
